id block state chan freq value
040 02 OM 8 0.095 -82.676
040 02 OM 8 0.100 -87.077
040 03 OM 1 0.005 -58.399
040 03 OM 1 0.010 -63.333
040 03 OM 1 0.015 -71.035
040 03 OM 1 0.020 -74.788
040 03 OM 1 0.025 -70.941
040 03 OM 1 0.030 -72.899
040 03 OM 1 0.035 -73.858
040 03 OM 1 0.040 -73.541
040 03 OM 1 0.045 -69.272
040 03 OM 1 0.050 -71.167
040 03 OM 1 0.055 -79.816
040 03 OM 1 0.060 -80.916
040 03 OM 1 0.065 -79.304
040 03 OM 1 0.070 -80.490
040 03 OM 1 0.075 -79.033
040 03 OM 1 0.080 -82.591
040 03 OM 1 0.085 -83.848
040 03 OM 1 0.090 -86.118
040 03 OM 1 0.095 -81.222
040 03 OM 1 0.100 -79.191
040 03 OM 2 0.005 -61.996
040 03 OM 2 0.010 -63.685
040 03 OM 2 0.015 -66.368
040 03 OM 2 0.020 -69.868
040 03 OM 2 0.025 -73.513
040 03 OM 2 0.030 -72.395
040 03 OM 2 0.035 -76.755
040 03 OM 2 0.040 -74.625
040 03 OM 2 0.045 -68.040
040 03 OM 2 0.050 -70.065
040 03 OM 2 0.055 -77.302
040 03 OM 2 0.060 -80.488
040 03 OM 2 0.065 -81.881
040 03 OM 2 0.070 -84.863
040 03 OM 2 0.075 -82.504
040 03 OM 2 0.080 -82.244
040 03 OM 2 0.085 -81.451
040 03 OM 2 0.090 -80.418
040 03 OM 2 0.095 -83.232
040 03 OM 2 0.100 -82.904
040 03 OM 3 0.005 -57.906
040 03 OM 3 0.010 -62.915
040 03 OM 3 0.015 -68.487
040 03 OM 3 0.020 -70.213
040 03 OM 3 0.025 -73.475
040 03 OM 3 0.030 -74.625
040 03 OM 3 0.035 -78.492
040 03 OM 3 0.040 -73.287
040 03 OM 3 0.045 -68.133
040 03 OM 3 0.050 -70.631
040 03 OM 3 0.055 -79.344
040 03 OM 3 0.060 -82.372
040 03 OM 3 0.065 -85.183
040 03 OM 3 0.070 -86.690
040 03 OM 3 0.075 -84.206
040 03 OM 3 0.080 -82.646
040 03 OM 3 0.085 -80.774
040 03 OM 3 0.090 -79.851
040 03 OM 3 0.095 -83.327
040 03 OM 3 0.100 -85.520
040 03 OM 4 0.005 -57.112
040 03 OM 4 0.010 -61.996
040 03 OM 4 0.015 -64.581
040 03 OM 4 0.020 -67.918
040 03 OM 4 0.025 -70.944
040 03 OM 4 0.030 -72.924
040 03 OM 4 0.035 -77.704
040 03 OM 4 0.040 -75.848
040 03 OM 4 0.045 -69.105
040 03 OM 4 0.050 -71.095
040 03 OM 4 0.055 -77.043
040 03 OM 4 0.060 -78.305
040 03 OM 4 0.065 -80.716
040 03 OM 4 0.070 -83.247
040 03 OM 4 0.075 -85.680
040 03 OM 4 0.080 -80.179
040 03 OM 4 0.085 -78.328
040 03 OM 4 0.090 -78.020
040 03 OM 4 0.095 -81.586
040 03 OM 4 0.100 -84.782
040 03 OM 5 0.005 -57.396
040 03 OM 5 0.010 -60.009
040 03 OM 5 0.015 -62.007
040 03 OM 5 0.020 -66.991
040 03 OM 5 0.025 -72.633
040 03 OM 5 0.030 -72.615
040 03 OM 5 0.035 -76.143
040 03 OM 5 0.040 -76.057
040 03 OM 5 0.045 -70.134
040 03 OM 5 0.050 -72.231
040 03 OM 5 0.055 -78.334
040 03 OM 5 0.060 -78.777
040 03 OM 5 0.065 -81.508
040 03 OM 5 0.070 -88.154
040 03 OM 5 0.075 -89.124
040 03 OM 5 0.080 -84.562
040 03 OM 5 0.085 -80.697
040 03 OM 5 0.090 -81.292
040 03 OM 5 0.095 -83.732
040 03 OM 5 0.100 -83.789
040 03 OM 6 0.005 -56.027
040 03 OM 6 0.010 -60.694
040 03 OM 6 0.015 -63.090
040 03 OM 6 0.020 -66.308
040 03 OM 6 0.025 -71.697
040 03 OM 6 0.030 -73.056
040 03 OM 6 0.035 -77.461
040 03 OM 6 0.040 -75.649
040 03 OM 6 0.045 -69.517
040 03 OM 6 0.050 -71.595
040 03 OM 6 0.055 -79.220
040 03 OM 6 0.060 -80.205
040 03 OM 6 0.065 -82.416
040 03 OM 6 0.070 -86.434
040 03 OM 6 0.075 -87.004
040 03 OM 6 0.080 -83.457
040 03 OM 6 0.085 -80.576
040 03 OM 6 0.090 -79.915
040 03 OM 6 0.095 -81.807
040 03 OM 6 0.100 -83.701
040 03 OM 7 0.005 -55.278
040 03 OM 7 0.010 -59.405
040 03 OM 7 0.015 -61.777
040 03 OM 7 0.020 -65.867
040 03 OM 7 0.025 -71.953
040 03 OM 7 0.030 -74.699
040 03 OM 7 0.035 -78.115
040 03 OM 7 0.040 -79.209
040 03 OM 7 0.045 -72.317
040 03 OM 7 0.050 -72.902
040 03 OM 7 0.055 -78.082
040 03 OM 7 0.060 -75.397
040 03 OM 7 0.065 -78.463
040 03 OM 7 0.070 -88.064
040 03 OM 7 0.075 -90.427
040 03 OM 7 0.080 -83.759
040 03 OM 7 0.085 -79.206
040 03 OM 7 0.090 -80.701
040 03 OM 7 0.095 -84.437
040 03 OM 7 0.100 -87.706
040 03 OM 8 0.005 -55.359
040 03 OM 8 0.010 -60.779
040 03 OM 8 0.015 -62.998
040 03 OM 8 0.020 -65.637
040 03 OM 8 0.025 -71.114
040 03 OM 8 0.030 -73.992
040 03 OM 8 0.035 -77.634
040 03 OM 8 0.040 -77.598
040 03 OM 8 0.045 -70.449
040 03 OM 8 0.050 -72.042
040 03 OM 8 0.055 -78.129
040 03 OM 8 0.060 -77.024
040 03 OM 8 0.065 -79.751
040 03 OM 8 0.070 -85.874
040 03 OM 8 0.075 -88.926
040 03 OM 8 0.080 -83.360
040 03 OM 8 0.085 -79.622
040 03 OM 8 0.090 -79.549
040 03 OM 8 0.095 -83.438
040 03 OM 8 0.100 -88.633
040 04 OM 1 0.005 -50.078
040 04 OM 1 0.010 -54.202
040 04 OM 1 0.015 -65.451
040 04 OM 1 0.020 -66.672
040 04 OM 1 0.025 -71.701
040 04 OM 1 0.030 -69.724
040 04 OM 1 0.035 -68.065
040 04 OM 1 0.040 -67.639
040 04 OM 1 0.045 -66.232
040 04 OM 1 0.050 -72.818
040 04 OM 1 0.055 -73.393
040 04 OM 1 0.060 -72.789
040 04 OM 1 0.065 -78.747
040 04 OM 1 0.070 -80.337
040 04 OM 1 0.075 -78.379
040 04 OM 1 0.080 -83.183
040 04 OM 1 0.085 -81.256
040 04 OM 1 0.090 -79.110
040 04 OM 1 0.095 -81.202
040 04 OM 1 0.100 -77.185
040 04 OM 2 0.005 -51.861
040 04 OM 2 0.010 -56.204
040 04 OM 2 0.015 -63.842
040 04 OM 2 0.020 -66.817
040 04 OM 2 0.025 -71.995
040 04 OM 2 0.030 -71.188
040 04 OM 2 0.035 -69.347
040 04 OM 2 0.040 -68.333
040 04 OM 2 0.045 -66.247
040 04 OM 2 0.050 -72.666
040 04 OM 2 0.055 -76.632
040 04 OM 2 0.060 -75.184
040 04 OM 2 0.065 -79.308
040 04 OM 2 0.070 -80.273
040 04 OM 2 0.075 -80.212
040 04 OM 2 0.080 -83.585
040 04 OM 2 0.085 -83.962
040 04 OM 2 0.090 -80.408
040 04 OM 2 0.095 -81.535
040 04 OM 2 0.100 -80.620
040 04 OM 3 0.005 -52.161
040 04 OM 3 0.010 -54.775
040 04 OM 3 0.015 -63.178
040 04 OM 3 0.020 -67.928
040 04 OM 3 0.025 -71.928
040 04 OM 3 0.030 -71.983
040 04 OM 3 0.035 -70.408
040 04 OM 3 0.040 -69.478
040 04 OM 3 0.045 -67.022
040 04 OM 3 0.050 -73.403
040 04 OM 3 0.055 -78.017
040 04 OM 3 0.060 -76.914
040 04 OM 3 0.065 -80.211
040 04 OM 3 0.070 -80.188
040 04 OM 3 0.075 -79.063
040 04 OM 3 0.080 -83.329
040 04 OM 3 0.085 -84.592
040 04 OM 3 0.090 -79.878
040 04 OM 3 0.095 -81.124
040 04 OM 3 0.100 -81.829
040 04 OM 4 0.005 -52.108
040 04 OM 4 0.010 -54.348
040 04 OM 4 0.015 -61.667
040 04 OM 4 0.020 -65.547
040 04 OM 4 0.025 -71.244
040 04 OM 4 0.030 -69.719
040 04 OM 4 0.035 -69.578
040 04 OM 4 0.040 -68.752
040 04 OM 4 0.045 -66.331
040 04 OM 4 0.050 -72.658
040 04 OM 4 0.055 -77.330
040 04 OM 4 0.060 -76.695
040 04 OM 4 0.065 -79.274
040 04 OM 4 0.070 -78.449
040 04 OM 4 0.075 -80.484
040 04 OM 4 0.080 -84.545
040 04 OM 4 0.085 -82.429
040 04 OM 4 0.090 -76.405
040 04 OM 4 0.095 -77.815
040 04 OM 4 0.100 -79.232
040 04 OM 5 0.005 -50.278
040 04 OM 5 0.010 -54.451
040 04 OM 5 0.015 -63.132
040 04 OM 5 0.020 -65.088
040 04 OM 5 0.025 -70.065
040 04 OM 5 0.030 -71.376
040 04 OM 5 0.035 -68.797
040 04 OM 5 0.040 -68.734
040 04 OM 5 0.045 -67.352
040 04 OM 5 0.050 -73.392
040 04 OM 5 0.055 -74.519
040 04 OM 5 0.060 -73.689
040 04 OM 5 0.065 -78.911
040 04 OM 5 0.070 -82.611
040 04 OM 5 0.075 -80.978
040 04 OM 5 0.080 -81.410
040 04 OM 5 0.085 -81.397
040 04 OM 5 0.090 -78.514
040 04 OM 5 0.095 -80.269
040 04 OM 5 0.100 -77.980
040 04 OM 6 0.005 -53.640
040 04 OM 6 0.010 -55.737
040 04 OM 6 0.015 -63.103
040 04 OM 6 0.020 -66.689
040 04 OM 6 0.025 -71.534
040 04 OM 6 0.030 -69.131
040 04 OM 6 0.035 -67.921
040 04 OM 6 0.040 -68.853
040 04 OM 6 0.045 -67.623
040 04 OM 6 0.050 -73.846
040 04 OM 6 0.055 -76.078
040 04 OM 6 0.060 -74.603
040 04 OM 6 0.065 -78.644
040 04 OM 6 0.070 -80.712
040 04 OM 6 0.075 -81.203
040 04 OM 6 0.080 -82.436
040 04 OM 6 0.085 -80.943
040 04 OM 6 0.090 -76.512
040 04 OM 6 0.095 -79.223
040 04 OM 6 0.100 -79.617
040 04 OM 7 0.005 -53.982
040 04 OM 7 0.010 -56.757
040 04 OM 7 0.015 -64.646
040 04 OM 7 0.020 -67.084
040 04 OM 7 0.025 -70.183
040 04 OM 7 0.030 -70.317
040 04 OM 7 0.035 -68.673
040 04 OM 7 0.040 -69.955
040 04 OM 7 0.045 -69.278
040 04 OM 7 0.050 -75.692
040 04 OM 7 0.055 -75.450
040 04 OM 7 0.060 -74.103
040 04 OM 7 0.065 -79.027
040 04 OM 7 0.070 -80.519
040 04 OM 7 0.075 -80.471
040 04 OM 7 0.080 -81.933
040 04 OM 7 0.085 -79.457
040 04 OM 7 0.090 -76.773
